Algorithm,Function,Dimension,Population,Best Value,Execution Time
gsa,ackley_function,3,20,-0.05781659580659926,0.020003080368041992
gsa,ackley_function,3,20,0.058919508238454654,0.020003080368041992
gsa,ackley_function,3,20,0.1236381123613205,0.020003080368041992
gsa,ackley_function,3,30,0.08916364070615207,0.043186187744140625
gsa,ackley_function,3,30,-0.0680255627836816,0.043186187744140625
gsa,ackley_function,3,30,-0.03850045861712398,0.043186187744140625
gsa,ackley_function,3,40,-0.07333788040625047,0.07567930221557617
gsa,ackley_function,3,40,-0.025039091996322593,0.07567930221557617
gsa,ackley_function,3,40,-0.039418774339619544,0.07567930221557617
gsa,ackley_function,3,50,0.025500823303357192,0.11721515655517578
gsa,ackley_function,3,50,0.11561370812829896,0.11721515655517578
gsa,ackley_function,3,50,-0.018630271073936278,0.11721515655517578
gsa,ackley_function,5,10,-0.10485251445850083,0.005917787551879883
gsa,ackley_function,5,10,0.05650292932640166,0.005917787551879883
gsa,ackley_function,5,10,0.17869696107476787,0.005917787551879883
gsa,ackley_function,5,10,0.011589859917255571,0.005917787551879883
gsa,ackley_function,5,10,-0.19908844819527727,0.005917787551879883
gsa,ackley_function,5,20,-0.3232407828413617,0.0200347900390625
gsa,ackley_function,5,20,1.0654223551294741,0.0200347900390625
gsa,ackley_function,5,20,-0.10944320815707073,0.0200347900390625
gsa,ackley_function,5,20,-0.00047608898238264696,0.0200347900390625
gsa,ackley_function,5,20,-0.06163348014570691,0.0200347900390625
gsa,ackley_function,5,30,-0.19082429329807787,0.04408597946166992
gsa,ackley_function,5,30,0.022186631885785818,0.04408597946166992
gsa,ackley_function,5,30,0.02364082223991583,0.04408597946166992
gsa,ackley_function,5,30,-0.14343332904517347,0.04408597946166992
gsa,ackley_function,5,30,-0.009100670375151804,0.04408597946166992
gsa,ackley_function,5,40,0.020312709081596735,0.07631516456604004
gsa,ackley_function,5,40,0.0017007928970492608,0.07631516456604004
gsa,ackley_function,5,40,-0.011269076528922367,0.07631516456604004
gsa,ackley_function,5,40,0.00390691270204363,0.07631516456604004
gsa,ackley_function,5,40,0.03357991589441678,0.07631516456604004
gsa,ackley_function,5,50,0.015485184472858876,0.11863994598388672
gsa,ackley_function,5,50,-0.03067947783646935,0.11863994598388672
gsa,ackley_function,5,50,-0.00964101801309869,0.11863994598388672
gsa,ackley_function,5,50,-0.030387679861174063,0.11863994598388672
gsa,ackley_function,5,50,-0.09268076659488034,0.11863994598388672
gwo,ackley_function,2,10,-0.00024634741430643747,0.0006949901580810547
